student_id,name,listening,reading,writing,speaking,target_overall,study_hours_per_week
41,Hoàng Ngọc Nam,9.0,8.0,5.5,8.0,6.5,22
42,Lý Văn Tuấn,5.0,6.0,3.0,3.0,6.5,14
43,Vũ Thanh Hải,5.5,6.5,3.5,5.5,8.0,18
44,Huỳnh Thanh Hùng,7.0,6.5,5.5,5.0,8.0,22
45,Võ Tấn Hùng,6.0,6.5,6.0,5.5,6.0,7
46,Lý Hoàng Tú,6.0,9.0,4.0,5.5,7.5,23
47,Bùi Đức Dũng,9.0,6.0,6.0,7.5,8.0,12
48,Phạm Khánh Phát,4.0,7.5,6.5,5.5,7.5,26
49,Lý Ngọc Tú,4.5,7.5,7.5,6.5,7.0,5
50,Ngô Thị Dũng,3.5,4.5,8.0,3.0,7.5,13
51,Bùi Tấn Trang,3.5,6.0,6.0,7.5,6.0,16
52,Đặng Hữu Tuấn,8.5,6.0,6.0,4.0,6.5,14
53,Nguyễn Thị Anh,6.5,6.0,8.0,6.5,7.0,15
54,Võ Công Bảo,5.5,8.0,3.0,4.5,5.5,25
55,Hồ Thanh Anh,7.5,7.5,3.0,4.0,7.5,5
56,Lý Công Phát,5.5,4.0,7.0,4.0,7.5,22
57,Phan Khánh Trang,7.0,7.5,8.0,7.0,6.0,15
58,Hồ Công Nam,6.0,4.0,3.5,3.5,7.0,12
59,Đặng Thị Anh,7.5,4.0,4.0,3.0,5.5,26
60,Hồ Thị Anh,7.5,4.0,8.0,4.5,8.5,22
61,Hồ Minh Tuấn,5.5,9.0,5.0,7.5,8.0,26
62,Lê Ngọc Anh,3.5,4.0,3.5,4.5,8.0,15
63,Dương Hoàng Trang,8.5,4.5,8.0,6.5,7.5,7
64,Đỗ Thị Dũng,3.5,6.5,8.0,4.5,6.0,16
65,Trần Đức Linh,4.0,7.0,3.5,3.5,7.5,30
66,Ngô Ngọc Hương,6.0,4.5,3.5,4.0,5.5,5
67,Ngô Công Lan,7.5,7.5,5.5,3.0,7.5,8
68,Phạm Công Bảo,4.0,8.0,3.0,6.5,6.0,18
69,Vũ Công Trang,8.5,9.0,6.0,3.5,7.0,23
70,Dương Tấn Bảo,7.5,6.5,6.5,7.0,6.0,6
71,Bùi Minh Nam,6.0,7.5,5.5,8.0,6.0,20
72,Vũ Ngọc Mai,7.5,5.5,8.0,4.0,8.5,5
73,Trần Thị Linh,5.5,7.5,4.5,6.0,6.0,13
74,Huỳnh Khánh Phát,9.0,8.0,6.5,3.0,6.0,9
75,Bùi Hoàng Nam,6.0,4.0,7.0,7.5,8.5,10
76,Đặng Khánh Hùng,5.0,3.5,7.0,8.0,7.5,9
77,Bùi Văn Hương,8.0,6.5,8.0,3.0,7.5,6
78,Võ Ngọc Tú,7.0,6.0,5.0,4.5,6.5,30
79,Huỳnh Minh Dũng,4.0,6.5,3.0,6.0,6.5,28
80,Huỳnh Ngọc Nam,8.5,8.5,3.5,6.0,8.0,22
81,Phan Quốc Anh,5.5,6.0,5.5,7.5,6.5,18
82,Lý Thanh Hùng,8.0,6.0,6.0,4.0,5.5,5
83,Đặng Thanh Lan,4.5,6.5,7.0,7.5,6.0,30
84,Huỳnh Hoàng Tuấn,4.0,4.0,3.5,8.0,6.5,6
85,Trần Minh Tuấn,9.0,5.5,6.0,5.5,6.5,5
86,Lý Khánh Hương,3.5,5.0,4.0,6.0,5.5,21
87,Đỗ Công Tú,7.0,4.0,4.0,6.0,6.5,21
88,Đỗ Đức Dũng,5.5,4.5,5.5,4.5,7.0,20
89,Nguyễn Ngọc Tú,4.5,4.0,7.0,6.0,5.5,16
90,Đặng Hữu Nam,8.5,8.0,5.5,5.5,6.5,22
91,Lê Tấn Phát,6.0,4.5,4.5,7.5,8.5,30
92,Đặng Khánh Phong,6.0,5.5,8.0,8.0,8.5,28
93,Ngô Đức Nam,5.5,8.0,8.0,7.0,8.0,8
94,Huỳnh Tấn Dũng,4.0,8.0,4.0,7.5,8.0,16
95,Ngô Văn Dũng,9.0,7.0,4.0,6.5,5.5,20
96,Đỗ Đức Thành,4.5,4.0,6.5,6.5,8.5,7
97,Trần Thị Trang,4.5,7.0,6.0,5.5,8.5,6
98,Bùi Văn Hương,8.0,7.0,7.5,8.0,7.5,29
99,Đỗ Thị Lan,4.5,7.0,3.5,5.5,6.5,13
100,Dương Đức Tuấn,9.0,4.0,3.0,7.0,8.0,26
101,Vũ Thị Thành,9.0,4.5,3.5,6.5,6.5,11
102,Đặng Hoàng Mai,8.5,8.5,7.5,5.0,7.0,23
103,Bùi Công Linh,6.5,5.0,8.0,7.0,7.0,9
104,Dương Thị Linh,7.5,5.5,6.5,4.0,7.0,7
105,Phạm Thanh Lan,5.5,4.0,3.5,4.5,6.0,7
106,Bùi Thị Nam,7.0,4.5,5.0,5.5,7.5,21
107,Trần Minh Dũng,6.0,4.0,3.0,3.0,6.5,30
108,Trần Hoàng Hùng,4.5,9.0,3.0,4.5,6.5,29
109,Đỗ Quốc Anh,8.0,5.0,5.0,4.5,7.5,24
110,Nguyễn Hoàng Phát,5.5,8.5,3.0,6.0,7.0,24
111,Phạm Minh Hải,9.0,6.5,3.5,6.5,7.0,20
112,Nguyễn Hữu Lan,3.5,3.5,3.0,5.0,6.5,14
113,Huỳnh Công Trang,7.5,8.5,4.0,4.0,6.0,27
114,Phan Ngọc Bảo,9.0,5.5,7.0,7.5,5.5,25
115,Nguyễn Tấn Phát,4.5,7.0,5.0,8.0,6.0,17
116,Vũ Minh Phong,9.0,3.5,5.5,4.5,6.5,15
117,Ngô Khánh Phát,9.0,8.5,7.0,6.5,8.5,6
118,Đỗ Hữu Trang,9.0,5.5,4.0,6.5,8.5,5
119,Bùi Minh Anh,7.0,3.5,5.0,4.0,8.5,6
120,Nguyễn Minh Hương,5.0,5.0,6.0,7.5,8.0,24
121,Hồ Minh Tú,4.5,3.5,6.0,6.5,5.5,16
122,Lê Minh Nam,5.0,7.0,6.5,3.0,8.5,18
123,Ngô Thị Nam,5.0,8.0,7.0,7.0,8.0,9
124,Đặng Hữu Hương,6.0,6.5,7.5,6.0,7.5,17
125,Lê Khánh Anh,9.0,7.5,3.0,5.0,7.0,21
126,Đỗ Minh Dũng,7.0,8.5,3.0,3.0,8.5,11
127,Lê Công Tuấn,8.5,4.5,5.5,5.5,7.5,22
128,Phạm Hữu Phát,5.5,4.0,6.0,3.5,6.5,20
129,Hồ Thị Phong,4.0,6.5,3.5,8.0,8.5,23
130,Hồ Thanh Phong,4.5,4.5,7.0,6.0,7.5,27
131,Huỳnh Ngọc Hải,7.5,8.5,5.0,7.0,6.0,30
132,Ngô Khánh Dũng,4.5,4.5,7.5,8.0,5.5,28
133,Bùi Văn Phát,8.5,7.5,6.5,5.0,6.5,5
134,Huỳnh Đức Hương,8.5,6.5,4.0,4.5,6.0,20
135,Hoàng Công Hùng,3.5,9.0,7.0,3.5,6.5,17
136,Ngô Hữu Nam,6.5,8.0,7.0,7.0,8.5,24
137,Lý Tấn Anh,6.5,7.5,3.5,7.0,8.5,10
138,Phạm Quốc Nam,9.0,8.5,7.0,6.5,6.5,9
139,Đỗ Thanh Thành,4.5,4.0,7.0,8.0,6.5,10
140,Trần Đức Phong,4.0,7.5,8.0,5.5,5.5,19
141,Vũ Tấn Trang,6.0,7.0,8.0,3.0,8.0,25
142,Nguyễn Minh Lan,4.0,6.0,8.0,6.0,8.0,9
143,Bùi Tấn Hải,4.0,4.0,4.0,6.0,5.5,23
144,Huỳnh Minh Hùng,5.0,6.5,4.0,3.5,8.0,12
145,Huỳnh Thanh Hải,5.0,4.0,7.0,4.0,8.5,26
146,Phạm Ngọc Mai,7.5,6.5,5.0,4.0,6.5,11
147,Võ Minh Tú,7.5,9.0,6.0,7.5,7.0,30
148,Trần Minh Linh,8.0,8.0,7.5,4.5,8.5,24
149,Ngô Quốc Phong,6.5,9.0,6.5,6.0,6.5,10
150,Lê Thị Nam,5.0,5.5,7.5,4.0,6.5,5
151,Lê Hữu Nam,5.0,5.0,3.5,3.5,6.0,27
152,Hồ Ngọc Thành,5.0,7.5,8.0,3.0,6.5,30
153,Phan Công Bảo,4.5,4.0,4.5,7.0,7.0,26
154,Phạm Văn Phát,9.0,5.0,3.0,4.0,7.0,18
155,Phan Công Hùng,6.5,5.5,6.0,7.0,5.5,27
156,Hồ Hoàng Linh,3.5,9.0,8.0,8.0,8.5,24
157,Nguyễn Công Hải,4.5,8.0,4.5,4.0,7.5,24
158,Đỗ Tấn Trang,3.5,5.0,6.5,4.0,7.5,16
159,Trần Thanh Hương,7.0,4.0,8.0,3.5,6.0,19
160,Võ Quốc Hương,5.5,7.5,5.0,3.0,5.5,29
161,Lý Khánh Thành,6.5,5.0,5.0,6.5,5.5,21
162,Hồ Hoàng Hải,6.5,7.5,6.5,5.5,6.0,28
163,Vũ Quốc Hải,8.5,9.0,7.5,5.0,8.5,18
164,Phan Minh Hải,8.0,8.5,3.0,6.0,6.0,20
165,Lý Thị Phong,5.5,8.5,3.0,7.0,6.5,27
166,Hoàng Đức Nam,6.0,4.5,4.0,3.0,8.5,23
167,Phạm Hữu Tuấn,4.0,6.0,6.0,5.0,8.0,28
168,Phan Đức Phát,3.5,5.5,5.0,8.0,8.0,30
169,Dương Khánh Hương,8.5,8.0,6.5,5.0,6.0,11
170,Bùi Văn Trang,5.5,7.0,5.0,4.0,8.0,11
171,Lý Quốc Dũng,3.5,7.0,4.0,5.5,7.5,21
172,Đặng Thanh Tuấn,4.0,6.5,7.0,7.5,5.5,17
173,Võ Công Thành,8.0,8.5,7.0,6.5,8.0,9
174,Dương Công Phát,9.0,6.0,6.5,6.5,6.5,24
175,Nguyễn Minh Mai,3.5,3.5,7.0,7.5,7.0,29
176,Phan Khánh Dũng,5.5,9.0,7.0,5.0,8.5,7
177,Bùi Hữu Thành,4.0,4.5,5.0,8.0,7.0,12
178,Phan Thị Tuấn,8.5,3.5,6.5,7.5,8.0,28
179,Võ Ngọc Hùng,5.0,5.0,6.0,4.0,7.0,26
180,Vũ Ngọc Dũng,8.0,5.0,5.5,3.5,8.0,10
181,Đỗ Ngọc Tú,5.0,7.0,4.0,5.0,6.5,20
182,Võ Đức Tuấn,9.0,4.5,6.5,6.5,8.0,9
183,Đặng Công Phong,6.5,7.0,3.5,5.5,6.5,23
184,Hoàng Thị Bảo,3.5,6.5,7.5,4.5,7.5,14
185,Vũ Đức Mai,4.0,8.5,4.0,4.0,8.5,10
186,Đỗ Thanh Dũng,4.5,5.5,5.0,6.0,5.5,24
187,Nguyễn Hoàng Dũng,8.0,6.0,5.5,4.0,7.0,18
188,Hoàng Khánh Hải,8.5,7.0,7.0,4.5,5.5,9
189,Lê Công Anh,4.0,4.5,6.0,3.0,8.5,20
190,Ngô Ngọc Mai,4.5,3.5,5.0,7.0,6.0,28
191,Võ Ngọc Anh,4.5,4.0,7.0,5.5,7.5,25
192,Đỗ Ngọc Tú,4.0,8.0,3.0,3.5,7.5,30
193,Vũ Khánh Thành,6.5,5.0,7.0,4.5,6.0,11
194,Trần Tấn Lan,8.0,5.5,3.5,4.0,6.5,8
195,Đặng Thị Hải,8.5,3.5,7.5,8.0,7.5,11
196,Võ Khánh Hải,8.0,4.5,3.0,3.0,6.0,17
197,Phạm Khánh Trang,5.0,6.5,6.0,8.0,6.5,30
198,Trần Thị Phong,9.0,5.0,3.5,5.5,8.5,19
199,Lê Hữu Bảo,4.5,4.5,4.5,6.5,8.5,21
200,Bùi Thị Thành,8.0,9.0,6.5,5.0,6.5,16
201,Phan Khánh Hùng,8.5,7.5,4.5,5.0,7.0,10
202,Lê Đức Hương,4.0,4.0,3.0,3.0,6.0,18
203,Lý Hữu Mai,3.5,3.5,6.0,6.5,7.0,24
204,Đỗ Khánh Nam,8.5,5.5,8.0,8.0,8.0,21
205,Nguyễn Hữu Phát,5.5,7.0,5.5,7.0,7.5,27
206,Vũ Văn Anh,4.0,7.5,8.0,3.0,5.5,18
207,Dương Ngọc Anh,5.0,8.5,6.5,6.0,6.5,13
208,Đỗ Công Mai,7.0,4.5,3.0,3.5,6.0,7
209,Phan Văn Hương,5.5,5.0,5.5,3.0,6.5,29
210,Lê Đức Anh,4.5,4.0,3.0,3.5,8.5,18
211,Phạm Hữu Trang,6.0,4.0,4.5,5.0,8.0,18
212,Trần Quốc Phát,5.0,7.0,5.5,6.5,5.5,27
213,Hoàng Công Hương,4.0,5.0,5.5,5.5,7.5,7
214,Ngô Thị Mai,5.0,6.5,5.0,6.0,7.0,22
215,Ngô Minh Linh,7.5,5.5,4.5,7.0,5.5,25
216,Hồ Thanh Hải,4.5,4.5,5.0,8.0,7.0,21
217,Phạm Minh Mai,9.0,5.5,8.0,3.5,7.0,29
218,Huỳnh Thanh Hương,8.0,6.5,6.5,8.0,7.5,24
219,Vũ Hữu Phát,8.5,5.5,5.0,7.0,5.5,14
220,Đỗ Tấn Phát,7.0,3.5,6.5,5.0,8.0,29
221,Đỗ Đức Tú,5.5,9.0,4.0,4.0,8.0,20
222,Võ Thị Mai,9.0,6.5,4.0,8.0,7.5,8
223,Lê Văn Lan,5.0,5.0,6.0,6.5,7.5,20
224,Đỗ Quốc Phát,5.0,7.5,4.0,4.5,6.0,10
225,Dương Hữu Anh,8.5,7.5,6.0,3.0,7.5,6
226,Huỳnh Tấn Thành,4.5,4.5,4.0,3.5,5.5,17
227,Lý Công Anh,7.0,5.5,5.5,5.5,6.0,17
228,Bùi Tấn Lan,8.0,3.5,5.0,4.0,8.5,27
229,Trần Tấn Hương,5.0,5.0,4.5,4.5,7.0,17
230,Hoàng Hữu Thành,4.5,6.0,3.0,5.0,7.5,17
231,Đỗ Văn Tú,5.5,7.0,5.5,7.0,8.0,5
232,Ngô Quốc Hương,6.5,8.0,3.0,6.5,8.0,20
233,Lý Hữu Hùng,5.5,8.0,5.5,6.5,5.5,9
234,Ngô Tấn Linh,6.0,5.5,7.0,8.0,8.0,17
235,Phan Tấn Hương,4.0,6.5,8.0,5.0,7.5,25
236,Đỗ Hoàng Linh,5.0,8.5,7.0,7.0,5.5,23
237,Lê Tấn Lan,7.5,5.0,6.5,3.0,5.5,10
238,Phạm Công Trang,5.0,8.0,3.0,4.5,8.0,15
239,Phan Tấn Linh,7.5,6.5,7.5,8.0,6.0,21
240,Dương Quốc Mai,8.5,8.5,4.5,6.5,8.0,26
241,Lý Tấn Nam,5.5,8.5,4.5,6.5,5.5,7
242,Nguyễn Tấn Hương,8.5,6.0,7.0,7.0,7.0,14
243,Hoàng Minh Anh,5.0,6.5,5.5,8.0,6.5,21
244,Hồ Tấn Hải,6.0,5.5,3.5,7.5,8.0,5
245,Đặng Đức Hải,6.0,7.5,6.5,4.5,6.0,8
246,Ngô Khánh Bảo,5.0,5.0,6.0,4.5,5.5,24
247,Hoàng Khánh Dũng,7.5,4.5,6.5,7.5,6.5,29
248,Nguyễn Thanh Linh,5.0,4.5,7.0,6.5,5.5,30
249,Võ Công Tuấn,7.5,4.5,5.0,6.0,6.0,18
250,Dương Hữu Lan,7.0,4.0,3.0,6.0,8.0,12
251,Huỳnh Quốc Phong,7.5,8.5,6.0,6.5,5.5,6
252,Huỳnh Minh Hải,4.5,9.0,3.0,7.5,6.0,7
253,Đỗ Minh Hải,5.0,6.5,3.0,4.0,5.5,23
254,Nguyễn Khánh Phát,6.5,3.5,7.0,3.0,7.0,16
255,Hồ Thanh Nam,6.0,9.0,6.5,6.5,6.5,9
256,Nguyễn Thanh Tuấn,5.5,4.0,6.0,3.5,5.5,27
257,Hoàng Đức Trang,6.5,5.5,4.0,7.0,5.5,14
258,Phạm Công Hương,5.0,5.5,6.0,6.5,6.0,23
259,Hồ Công Linh,9.0,5.0,6.0,7.0,8.5,18
260,Trần Thanh Anh,7.5,5.0,3.5,6.5,8.0,14
261,Nguyễn Hữu Tú,3.5,6.5,8.0,3.0,8.0,18
262,Huỳnh Hoàng Bảo,8.0,7.5,8.0,7.0,8.5,16
263,Đặng Thanh Dũng,7.0,7.5,6.5,4.0,6.5,7
264,Dương Minh Bảo,5.0,4.0,4.0,6.0,5.5,16
265,Vũ Ngọc Nam,5.0,5.0,4.0,5.5,8.0,28
266,Hồ Tấn Dũng,6.0,5.5,7.5,8.0,8.5,25
267,Đỗ Minh Bảo,5.0,4.5,4.0,3.0,5.5,15
268,Lê Hoàng Lan,6.5,5.0,6.5,3.0,6.0,12
269,Dương Quốc Dũng,8.5,5.5,5.5,7.5,8.0,18
270,Lê Đức Lan,6.0,7.5,6.0,7.5,5.5,11
271,Ngô Quốc Nam,4.5,7.0,5.0,5.5,8.5,8
272,Đặng Tấn Dũng,7.5,5.5,7.0,6.0,8.5,10
273,Bùi Khánh Phát,6.5,6.0,4.0,5.5,7.0,14
274,Dương Công Mai,5.5,5.0,5.0,5.0,7.0,8
275,Dương Minh Thành,6.0,5.0,7.0,5.5,5.5,14
276,Võ Hoàng Lan,4.5,8.5,4.5,8.0,6.0,7
277,Đỗ Đức Anh,7.0,7.0,3.0,7.0,6.0,13
278,Nguyễn Đức Lan,9.0,7.5,5.0,3.5,5.5,24
279,Lý Văn Tú,3.5,8.5,7.0,4.0,6.0,21
280,Lý Thị Dũng,6.5,3.5,5.0,4.5,6.0,19
281,Võ Quốc Dũng,4.0,4.5,4.0,3.0,7.5,13
282,Phạm Quốc Linh,8.5,6.5,4.5,7.0,6.5,14
283,Đặng Quốc Hùng,5.5,4.5,5.0,8.0,6.0,7
284,Lý Quốc Phong,8.5,7.0,4.0,6.0,8.5,6
285,Lê Đức Anh,4.5,7.0,3.0,5.5,8.5,29
286,Huỳnh Đức Tú,4.5,4.0,7.0,7.0,6.0,21
287,Đặng Thanh Lan,4.5,8.0,5.0,5.5,8.0,30
288,Đặng Khánh Trang,6.0,9.0,5.5,7.5,6.0,27
289,Trần Khánh Mai,6.0,4.5,7.5,4.0,5.5,25
290,Huỳnh Văn Nam,5.0,5.5,4.0,4.5,8.5,15
291,Huỳnh Hoàng Linh,8.0,6.0,3.5,4.0,8.0,16
292,Vũ Công Dũng,8.0,5.0,5.0,8.0,7.0,20
293,Ngô Văn Nam,7.5,6.5,4.0,3.0,7.0,17
294,Trần Hữu Thành,8.5,7.0,6.5,6.0,8.0,30
295,Lê Thanh Dũng,4.0,9.0,3.0,7.5,7.0,21
296,Hồ Ngọc Nam,8.5,7.0,5.5,5.5,6.0,29
297,Phạm Văn Thành,6.5,4.5,4.5,7.0,8.0,11
298,Đặng Khánh Hùng,8.5,3.5,3.0,6.5,6.0,25
299,Bùi Công Linh,6.0,8.5,6.5,6.5,8.0,19
300,Phạm Ngọc Hùng,4.5,6.5,4.0,4.0,6.5,19
301,Lý Ngọc Tú,8.5,5.5,8.0,4.5,7.5,7
302,Đỗ Văn Hương,5.0,9.0,7.0,4.0,7.0,22
303,Dương Minh Bảo,5.0,9.0,5.5,5.5,7.0,25
304,Hồ Quốc Linh,5.0,5.5,5.5,5.0,6.0,23
305,Đỗ Quốc Anh,5.5,8.5,5.0,5.0,7.0,15
306,Ngô Tấn Phát,6.5,6.5,6.0,3.0,7.5,28
307,Lê Quốc Tuấn,3.5,3.5,7.0,5.0,7.0,22
308,Nguyễn Quốc Tú,6.0,4.5,5.5,4.0,5.5,28
309,Trần Văn Tuấn,4.0,6.5,7.0,7.0,6.0,21
310,Nguyễn Ngọc Tuấn,5.5,6.5,3.0,7.5,6.0,26
311,Đặng Công Trang,5.0,6.0,7.5,5.5,6.0,21
312,Ngô Công Tú,6.5,7.0,6.5,6.0,8.0,20
313,Phạm Văn Linh,3.5,5.0,6.5,5.5,8.0,15
314,Đặng Đức Tú,5.0,5.0,4.0,4.5,8.5,22
315,Trần Quốc Trang,4.5,5.0,4.0,4.0,6.5,9
316,Lê Hữu Nam,6.0,8.0,8.0,4.5,7.0,11
317,Lý Khánh Hương,5.0,7.0,5.0,5.5,6.5,11
318,Nguyễn Hoàng Nam,7.0,9.0,4.0,4.5,6.5,9
319,Dương Khánh Hùng,4.0,3.5,7.0,3.0,6.5,11
320,Võ Thanh Trang,3.5,9.0,4.0,8.0,7.0,12
321,Vũ Minh Thành,7.5,7.5,5.0,3.0,8.5,5
322,Huỳnh Hoàng Tú,5.5,4.5,4.0,5.0,8.0,25
323,Bùi Tấn Hương,8.0,8.0,4.5,6.0,6.5,13
324,Lý Công Trang,7.0,9.0,6.5,3.0,5.5,13
325,Bùi Thanh Tú,6.5,7.0,6.0,3.5,8.0,6
326,Phạm Văn Phát,7.5,8.0,4.5,6.5,8.5,14
327,Vũ Đức Thành,6.5,6.5,3.0,3.0,8.0,26
328,Huỳnh Quốc Phát,9.0,6.0,4.0,4.0,5.5,6
329,Vũ Thị Phát,7.0,7.0,4.5,8.0,8.0,12
330,Hồ Văn Hùng,4.5,5.0,3.0,7.5,6.0,20
331,Vũ Hữu Hùng,8.5,7.5,6.5,5.0,8.5,23
332,Hoàng Tấn Anh,6.0,7.0,7.5,7.5,8.5,19
333,Ngô Hữu Phong,5.5,4.0,3.0,6.5,6.0,6
334,Vũ Văn Hương,9.0,5.0,3.5,5.5,7.0,29
335,Lê Thị Phát,6.0,5.5,8.0,7.0,8.0,18
336,Phan Minh Linh,5.5,5.5,4.5,5.0,8.0,7
337,Ngô Đức Bảo,8.0,4.5,5.0,4.0,8.5,26
338,Phan Văn Thành,7.5,6.5,5.5,5.0,6.5,18
339,Huỳnh Hoàng Tú,7.5,3.5,7.5,7.0,7.0,19
340,Đặng Tấn Trang,8.0,8.0,8.0,6.0,6.0,24
341,Ngô Quốc Linh,8.0,7.5,8.0,6.0,7.5,5
342,Huỳnh Khánh Hải,4.0,5.0,7.0,7.5,7.5,29
343,Phan Văn Nam,7.5,4.0,5.5,3.5,7.5,9
344,Trần Minh Mai,4.0,8.0,3.5,5.0,5.5,15
345,Hoàng Minh Lan,6.5,5.5,7.5,5.5,5.5,26
346,Lý Đức Linh,8.0,8.5,6.5,4.5,7.5,14
347,Lý Tấn Lan,8.0,7.5,7.5,3.5,8.5,19
348,Đỗ Hữu Tuấn,8.5,5.0,8.0,7.0,5.5,21
349,Huỳnh Quốc Bảo,5.5,7.0,5.5,5.5,7.5,10
350,Phạm Công Dũng,9.0,3.5,7.5,4.5,8.5,19
351,Võ Công Tú,6.0,9.0,3.5,6.5,8.0,21
352,Lê Thị Phát,3.5,8.5,5.0,4.5,5.5,5
353,Ngô Hữu Trang,9.0,6.5,7.0,3.0,7.5,27
354,Phạm Văn Hùng,7.5,9.0,6.5,5.0,7.5,19
355,Hồ Khánh Dũng,9.0,4.0,7.0,8.0,7.0,19
356,Võ Khánh Mai,8.0,6.0,6.0,6.5,8.5,9
357,Ngô Văn Anh,7.0,5.5,3.5,3.5,8.5,17
358,Dương Ngọc Hùng,6.5,4.0,6.0,6.5,8.0,19
359,Đỗ Hữu Thành,6.0,5.5,7.0,7.5,8.0,19
360,Võ Thanh Dũng,4.0,4.5,7.5,7.5,7.5,11
361,Dương Công Lan,4.0,5.0,4.5,6.5,5.5,29
362,Dương Công Anh,8.5,6.0,5.0,5.0,7.5,23
363,Dương Tấn Hùng,3.5,9.0,3.0,6.0,7.0,7
364,Vũ Ngọc Trang,7.5,4.5,6.5,4.0,5.5,19
365,Ngô Ngọc Anh,8.0,6.0,5.5,6.0,8.0,26
366,Bùi Văn Phong,6.5,8.0,5.0,6.5,8.0,11
367,Trần Đức Phát,8.0,8.5,3.5,6.0,8.0,8
368,Võ Khánh Trang,9.0,4.5,7.0,4.0,7.0,7
369,Ngô Thị Phong,4.0,3.5,3.0,5.0,5.5,29
370,Đặng Hữu Hương,9.0,3.5,6.5,4.5,5.5,7
371,Huỳnh Tấn Trang,5.5,8.5,5.0,3.0,7.5,23
372,Hồ Quốc Mai,3.5,7.0,3.0,3.5,6.0,30
373,Lê Hữu Tú,9.0,8.0,5.5,4.5,7.5,20
374,Phan Hữu Linh,5.5,3.5,7.0,4.5,5.5,16
375,Phạm Thanh Anh,3.5,6.0,8.0,6.0,7.5,14
376,Hoàng Minh Phát,5.5,4.5,7.0,7.0,7.0,16
377,Đỗ Hoàng Hùng,7.5,8.5,3.5,6.0,8.5,25
378,Hoàng Thị Tuấn,5.5,4.5,4.5,5.5,6.0,9
379,Nguyễn Tấn Thành,8.0,4.5,3.5,5.5,6.0,13
380,Phạm Minh Nam,9.0,7.5,7.0,6.5,6.5,11
381,Đặng Thanh Hải,4.5,3.5,7.0,7.5,8.5,20
382,Phan Ngọc Thành,8.0,5.0,5.5,4.0,7.5,27
383,Võ Hữu Mai,6.0,5.0,7.0,6.5,8.5,21
384,Dương Ngọc Tú,8.5,4.0,5.5,8.0,7.5,16
385,Dương Đức Dũng,8.0,7.5,7.5,4.5,6.5,15
386,Lý Thị Phát,4.5,9.0,3.0,6.5,6.5,25
387,Vũ Thị Hải,8.0,6.5,7.5,6.5,5.5,24
